user,text,city,country,latitude,longitude
Barrios_502,Qué bonitas las matemáticas cuando se dejan amar 💕😂😂😂😂😂😂,N/A,N/A,N/A,N/A
samlit78,"https://t.co/UsQexbEqJm Ciencia y sus Leyes en la Física,Química, Matemáticas. https://t.co/m9pg3J2SIz",N/A,N/A,N/A,N/A
UltraWenezolano,"JAJAJAJA Miren Esto #elachanteesconwenezolano @Wenezolano

-Papa,papa por que se suicido el libro de Matemáticas
+p… https://t.co/9acUNRiraS",N/A,N/A,N/A,N/A
casiisadora,Creo que lo que más me duele de aprender matemáticas de nuevo es cuando hago un ejercicio que me costó y al final m… https://t.co/QjHFAi98os,N/A,N/A,N/A,N/A
Leoo_Ulloa,3 años que le vengo aprobando todo a paloma de matemáticas y ella me hizo un favor de mierda y ya cree que esta sal… https://t.co/DitDt1YB0q,N/A,N/A,N/A,N/A
Karol_abc28,"@LeandroS6789 Si, seré yo quien va perdiendo matemáticas jakakaja",N/A,N/A,N/A,N/A
ashtonweon,"hoy me citaron a mi apoderado porque no respondi nada en la prueba de matemáticas, si no sé nada y no entiendo para… https://t.co/YuWVDSf7Rt",N/A,N/A,N/A,N/A
LaBrujaChica,@joelynott Muy bien! Yo me fui a alimentar donde mi mejor amiga mientras estudiaba matemáticas con su hijita,N/A,N/A,N/A,N/A
411emilio,¿Por qué las escritoras y escritores deberían aprender matemáticas? https://t.co/ii6llFocqT vía @ZTF_FCT,N/A,N/A,N/A,N/A
BrandoPk123,"Se Suicido Cuaderno De Matematicas, Tenia Muchos Problemas 😥😥😂😂",N/A,N/A,N/A,N/A
fraany_TJ,El otro dia estaban mirando porno en matematicas ahora que me acuero kakakakakakakajajsjajajajaja,N/A,N/A,N/A,N/A
HugoParra_y5,"—Este mes me inscribí a clases de matemáticas.
—¿Y cómo vas?
—Pues me lleva mi papá.",N/A,N/A,N/A,N/A
juliepzz,"Hoy cuando empecé a llorar en el salón por culpa de la Profe de Español, mi Profe de Matemáticas me empezó a dar án… https://t.co/g8fO3kJca1",N/A,N/A,N/A,N/A
lillysantiago35,Yo odio tanto las matemáticas.,N/A,N/A,N/A,N/A
idadevuelta,"@miseliti Sentirme orgullosa de los niños q ganan mundiales de matemáticas, ajedrez o fútbol y saber q aún hay much… https://t.co/34DDQd4TwI",N/A,N/A,N/A,N/A
GeluacLugo,Me ha gustado un vídeo de @YouTube (https://t.co/o8K8tyuVA2 - MATEMÁTICAS FINANCIERAS - Clases 3 - VAN Formulación y Cálculo,N/A,N/A,N/A,N/A
HobiHope180294,"@namtacos Tas bien. te baja un poco matemáticas, pero tas bien. :)",N/A,N/A,N/A,N/A
nicolasziletti,ESTA MAS DIFICIL QUE MATEMATICAS,N/A,N/A,N/A,N/A
namtacos,IGNOREN MATEMÁTICAS AHI VALGO VERGA,N/A,N/A,N/A,N/A
L_orocas,@SexyYetzSW @fersw82 @MiauMiauHW @InakiLolasw @SexyEnfermera69 @PrudenceMexico @poyin96 @SeducemeMx @Revista_H… https://t.co/xqEISZ5knh,N/A,N/A,N/A,N/A
Victorlxrd,Cuando estoy en clases de Matemáticas. https://t.co/mfUJ351HYR,N/A,N/A,N/A,N/A
germiarftust,Saqué un 10 en matemáticas y no estudié nada https://t.co/1RsJaWDy0L,N/A,N/A,N/A,N/A
mathusal9,El crack de las matemáticas de 6 años que ha pasado 5 de ellos en el hospital https://t.co/If2dR2SfgV vía @abc_es,N/A,N/A,N/A,N/A
RolandoJP11,"@montsepinedao Matemáticas, español también",N/A,N/A,N/A,N/A
AyyAlejandrita,"Estudio psicología y aún así tengo que ver matemáticas, biología y hasta cibernética🤔",N/A,N/A,N/A,N/A
stf_ov,Matematicas*😣 https://t.co/4Ugc8Fvlee,Medellín,Colombia,N/A,N/A
kareenvicthoria,"Cosas que no entiendo:
—La química.
—La física.
—Las matemáticas.
—El porqué te fuiste de mi vida cuando más te necesitaba.",N/A,N/A,N/A,N/A
Chico76456367,"Esta tiene más problemas que un libro de matemáticas, ""histérica"".
🙊🙊🙊🙊🙊🙊🙊🙊🙊🙊🙊🙊",N/A,N/A,N/A,N/A
ArianaFrancoH,"Número Pi, una curiosa cifra utilizada para casi todo #matemáticas https://t.co/diEyFHCb5z",N/A,N/A,N/A,N/A
DanaArizpe,Como batallo para que me entren las matemáticas 😬😫,N/A,N/A,N/A,N/A
noravia23,@maibortpetit Son ignorantes Maibort llegaron allí al azar como los graduandos de bachilleres con matemáticas físic… https://t.co/1HfMzO190E,N/A,N/A,N/A,N/A
ConiBts1,"en matematicas:3
 #EXOlympics2018 https://t.co/1qabGv78kK",N/A,N/A,N/A,N/A
JASCISC,"@DrArellanoBorja @RoyCampos xD a canijo, y eso cómo es? son otra matemáticas o cómo?",N/A,N/A,N/A,N/A
srta_roldan,alguien no ha estudiado inglés y mucho menos matemáticas JAJAJAJAJ @ayelenlupa2 https://t.co/vwNbIIEQ9g,N/A,N/A,N/A,N/A
Sebbapp,"Amiga, no sé si no sabe matemáticas o su compresión lectora es muy mala https://t.co/SPbYB3zatN",N/A,N/A,N/A,N/A
yamilaojeda14,"Cole mañana y tarde,ensayo para la exhibición,talleres,evaluaciones,Profe de matemáticas me tienen cansadaaa.",N/A,N/A,N/A,N/A
apr_matematicas,¿Eres de los que tira las hueveras? A partir de ahora las convertirás en matemáticas! :-) https://t.co/N66suZ7ZQY https://t.co/ZDUag3U5NH,N/A,N/A,N/A,N/A
jdmorado,#MuyInteresante |  Confirmado por las matemáticas. El envejecimiento es inevitable.  &gt;&gt; https://t.co/eLqPeSQyMy.,N/A,N/A,N/A,N/A
radiocienfuegos,#MuyInteresante |  Confirmado por las matemáticas. El envejecimiento es inevitable.  &gt;&gt; https://t.co/rcQ3hzNVV0.,N/A,N/A,N/A,N/A
lizarraga_ander,Me ha gustado un vídeo de @YouTube (https://t.co/qxBtq2kWMN - Antoni Daimiel &amp; Guillermo Giménez - Frase mitica &amp; Las matemáticas).,N/A,N/A,N/A,N/A
emirojaseng,Teorema más cagante y aburrido en 7 semestres de estudiar matemáticas: Existencia y unicidad de ecucaciones diferenciales,N/A,N/A,N/A,N/A
itsnotabadick,"-¡Haré que te comas tu libro de matemáticas!
-Pero tengo lentes...
-¡TE LOS COMERÁS TAMBIÉN!",N/A,N/A,N/A,N/A
madriz_1980,@Basku_ @tebarix @NanclaresAlex @LaVanguardia @mossos Las matematicas tambien las llevas mal o que. Si sois 2 millo… https://t.co/F6UJovJ7qa,N/A,N/A,N/A,N/A
math4alloficial,"Cómo multiplicaban los rusos? #curiosidades #matematicas #trucos #math4all

https://t.co/wV0fUsicRc",N/A,N/A,N/A,N/A
math4alloficial,"De donde viene el número PI? #pi #curiosidades #matematicas #math4all

https://t.co/ujx4tCSWPF",N/A,N/A,N/A,N/A
math4alloficial,"Numeros primos y compuestos diferencia #matematicas #math4all #mates

https://t.co/FUuJ0Yl18q",N/A,N/A,N/A,N/A
EstelaQuimica,#LoMásLeído APRENDE MATEMÁTICAS CON LOS CHEMTRAILS - EDITORIAL Vicens VIVES (España) ¿Qué opinas? https://t.co/TsuoKWGdh6,N/A,N/A,N/A,N/A
math4alloficial,"Gánale a tus amigos con este truco #matematicas #math4all #trucos #mates

https://t.co/i8Qgnyo1PD",N/A,N/A,N/A,N/A
leoo_bp,"Tener un buen día, hacer 3 ejercicios de matemáticas y deprimirme",N/A,N/A,N/A,N/A
maarizaperez,Cómo lo veis?? Las matemáticas a examen!!! https://t.co/mq2m1MrNYp,N/A,N/A,N/A,N/A
CPBSANTAANA,“El 80% de lo que se aprende en la asignatura de matemáticas no sirve para nada” https://t.co/fN0y39gW0r vía @el_pais,N/A,N/A,N/A,N/A
JPaul__7,Yo en matemáticas https://t.co/SK6KhcClnL,N/A,N/A,N/A,N/A
PresidentePrima,"Estupendas las V Jornadas de Matemáticas de Navarra, además de aprender cosas nuevas reencuentro con grandes amigos",N/A,N/A,N/A,N/A
Nattu_ega,Ing. en desarrollo de videojuegos y realidad virtual en Festival de Matemáticas #talca… https://t.co/GObsGWK6Yq,N/A,N/A,N/A,N/A
Sir_Blito,"@QuantumFracture @CdeCiencia Haced una encuesta de si las matemáticas son una ciencia, un arte u otra cosa",N/A,N/A,N/A,N/A
lettucegirrl,Ya hice mi examen y como me lo suponía me fue mal en matemáticas:)))))),N/A,N/A,N/A,N/A
ZG4EftRubiuH,Por favor alguien que me ayude con estadisticas en matematicas plis,N/A,N/A,N/A,N/A
CARPETAMAESTRO,CARPETA DEL MAESTRO: ACTIVIDADES DE REFUERZO DE MATEMÁTICAS 3 (TERCER C... https://t.co/iiFakqZ0RO,N/A,N/A,N/A,N/A
maulee,Todo listo para el Primer Festival de Matemáticas de Talca https://t.co/22wLw4WhER,N/A,N/A,N/A,N/A
caruchack,Me di cuenta que pertenezco al grupo de los nerds cuando empecé a hacer chistes sobre física y matemáticas 🙃🔫,N/A,N/A,N/A,N/A
arivol7,Cuando te dicen que solo faltan 5 minutos para terminar la sección de matemáticas. https://t.co/gKxiSFYSIy,N/A,N/A,N/A,N/A
Maemories,Debería estar estudiando matemáticas.  Khé hago aquí,N/A,N/A,N/A,N/A
LenteMagazine,#LenteMagazine (Imparten en la UAT taller para mejorar la ...)- https://t.co/JK9EImPyHc #UAT #somosUAT #UniversidadAutonomoaDeTamaulipas,N/A,N/A,N/A,N/A
ibubok,Disponible en ibubok el libro Fundamentos de matemáticas https://t.co/kQXD0ZVgvy,N/A,N/A,N/A,N/A
PublimetroChile,La tarea de matemáticas que una niña de 6 años no pudo resolver y que confundió a miles en Internet… https://t.co/hkXZ6jyhgG,N/A,N/A,N/A,N/A
Nattu_ega,Ing. en desarrollo de videojuegos y realidad virtual en Festival de Matemáticas #talca… https://t.co/kIZlLOqMPj,N/A,N/A,N/A,N/A
AnaComes1,RETO 32: A LOS PERROS LES GUSTAN LAS MATEMÁTICAS https://t.co/shXJbyApts vía @wordpressdotcom,N/A,N/A,N/A,N/A
Mysexytoaster,Frustrada nivel pt2: No sé matemáticas y saque 7 en trabajo en equipo (obviamente fue todo mi culpa),N/A,N/A,N/A,N/A
NajeraRetrogame,"@yisucrist Respect!!! Ojo, que el mío de Matemáticas me tiraba el borrador con efecto parábola y me daba siempre en la cabeza. Así estoy yo.",N/A,N/A,N/A,N/A
Rioja2,"La Casa de las Ciencias fusiona matemáticas, gastronomía y fotografía en dos exposiciones que hoy se han inaugurado… https://t.co/PrFBN1cj0w",N/A,N/A,N/A,N/A
alienorar_,Si no hay matemáticas no es una carrera #thanksdad,N/A,N/A,N/A,N/A
carlosferrersot,"La vida en Matemáticas:
—Primaria: 5+5=10
—Secundaria: x+4=-2
—Bachillerato: x²+3x-5=sen(x)
—Universidad: ∫√x/(x(e^… https://t.co/NF56EemFNl",N/A,N/A,N/A,N/A
chuscarbayubrim,"@dra_calegria La música tb son las matemáticas del placer,el abeyu,la cueva (refugio) q distiende el Espíritu cuando esta cansado",N/A,N/A,N/A,N/A
lalibretacolora,“Las matemáticas vigilan tu salud” El libro de @ClaraGrima del que estamos hablando https://t.co/PEpWdDm63n,N/A,N/A,N/A,N/A
MonicaSarcos,"Número Pi, una curiosa cifra utilizada para casi todo #Matemáticas https://t.co/nTbKq1igPP",N/A,N/A,N/A,N/A
parisaguila685,"Si las matematicas so. exactas y Pitagoras no miente, tu eres el chico mas guapo de todo el continente.",N/A,N/A,N/A,N/A
Javisburgos,"Lecturas recomendadas para el café matutino: https://t.co/PcLgFQI7kN de @rpleguezuelos y, si me lo permiten, https://t.co/ZuLcmA92Uv",N/A,N/A,N/A,N/A
NEUDC_RNE,"Con @ClaraGrima, que hoy ha venido a hablar de su libro: “Las matemáticas vigilan tu salud” https://t.co/AAJSNovXJB",N/A,N/A,N/A,N/A
Irenemate,"Matemáticas y salud, con @ClaraGrima en @NEUDC_RNE",N/A,N/A,N/A,N/A
proyectosRams,Dar paseos matemáticos por la ciudad ayuda a comprender la asignatura de matemáticas – elEconomista.es https://t.co/bGYeC9udT0,N/A,N/A,N/A,N/A
acertijosymas,Todos los números con cincos https://t.co/JzOcsiD1ML https://t.co/tu5E7sJCpr,N/A,N/A,N/A,N/A
trivinet,"#matemáticas #primaria Si quiero vender la PlayStasion 3 que vale 326 euros  y me dan un billete de 500 euros, ¿cuá… https://t.co/PQLOpCJFeT",N/A,N/A,N/A,N/A
crijegama,@Angel_L_Hern @EnJarras @biowor @ragaga1978 @karmenfaba @steclm @FECCOOCLM @FETEUGTALBACETE @CSIFCLM @PIAragonesa… https://t.co/E0Y414ylsd,N/A,N/A,N/A,N/A
KariOrtizAmp,mi maestro de matemáticas financieras es un amor💓😭,N/A,N/A,N/A,N/A
DineroEnImagen,La importancia de que le pierdas el miedo a las matemáticas https://t.co/Q6YbKpurdO https://t.co/0GTYYjp05Y,N/A,N/A,N/A,N/A
julslisin,"@MissOllivander Impresionante, glorioso, mayorzoso! Bravísimo curro! Una duda, la clase de matemáticas de Pepsi que… https://t.co/SJ37UGyUQ7",N/A,N/A,N/A,N/A
exeo,@jordipasc2 @indyjoe69 @eltivipata @FrayJosepho Yo te respondo: En los públicos es todo en catalán y en el concerta… https://t.co/qzH6MIsn0m,N/A,N/A,N/A,N/A
Gago1F,@fabibitan El problema en Educación siempre es intentar achacar cualquier motivo a un solo hecho y eso es la estupi… https://t.co/sGVXyU3cRM,N/A,N/A,N/A,N/A
victor_irr,"Razones trigonométricas de triángulos especiales https://t.co/6HVECgmvoz
Ya se me estaba olvidando esto perramente 😓📚 #matemáticas #math",N/A,N/A,N/A,N/A
jmartinezcs,"@javierpuy ''Las matemáticas doman la intuición y la creatividad''
https://t.co/0REI58a8BG",N/A,N/A,N/A,N/A
GlauboAssOliv,"@bbcbrasil ...sutis/'profundas' nas estruturas celulares e as probabilidades matemáticas refutam inteligentemente a superstição, a...",N/A,N/A,N/A,N/A
NachitoTorres_,"Son las 4:44.
Si los sumas (4+4+4) te da 12 que dividido 4 (12÷4) da 3, y por lógica 4-3 da 1.
Y yo soy una (1) per… https://t.co/yJWsHTvZ8c",N/A,N/A,N/A,N/A
sanz_ismael,"España, menos alumnos rezagados en Lectura y Ciencias que en la UE. El mismo porcentaje en Matemáticas… https://t.co/4C3iVG7a2G",N/A,N/A,N/A,N/A
VieyraTania,Me ha gustado un vídeo de @YouTube (https://t.co/RWElGpABAq - ¿Tienes que ser bueno en matematicas para programar?).,N/A,N/A,N/A,N/A
TheRiftYT,Si apruebo matemáticas me tiño el pelo de Azul!😮🔜,N/A,N/A,N/A,N/A
GlezTeresita,Nunca pensé que haría muy rápido los ejercicios de matemáticas,N/A,N/A,N/A,N/A
ivonnediaz2203,El crack de las matemáticas de 6 años que ha pasado 5 de ellos en el hospital https://t.co/SoKqRE02KV,N/A,N/A,N/A,N/A
jmsreales,"""es un defecto común en los mortales el considerar más bello lo dificil""Descartes
https://t.co/pe5WL09ouB… https://t.co/lCx2v1gvWv",N/A,N/A,N/A,N/A
OptifuturaBlog,Propiedades de la resta [Matemáticas]: https://t.co/r4iybwwLg1 vía @YouTube,N/A,N/A,N/A,N/A
JDeK_,Seguimos con el concurso de matemáticas #ElProblemadelaSemana en el @IESJuanaITorde. Una forma interesante de apren… https://t.co/7DzUoz4nfJ,Valladolid,Spain,N/A,N/A
problematicoyya,"—Mamá, mis maestros me dicen Thor. 
—¿Por rubio?
—No, porque soy el Dios del trueno… trueno español, trueno matemáticas, trueno historia.",N/A,N/A,N/A,N/A
BootZuna,"@FacunMoreno Vas a tenerte que ir apuntando a unas clases de matematicas...o eso, o mientes adrede, lo cual te conv… https://t.co/g7CMllRY6K",N/A,N/A,N/A,N/A
angel_olmedo324,"Como cuando no te gustan las matematicas pero él campo laboral de tu carrera lo requiere.
#quimico #farmaceutico #biologico",N/A,N/A,N/A,N/A
ColeLuisBunuel,Resolviendo problemas de matemáticas en 5°primaria @ColeLuisBunuel https://t.co/9EjCczDez4,N/A,N/A,N/A,N/A
EpJavierita,Tengo motivación para tener promedio final un 6.0 (Tableta ven a mi) BUT Matemáticas la caga. :( https://t.co/6uk5JP3rKy,N/A,N/A,N/A,N/A
srta_roldan,alguien no ha estudiado inglés y mucho menos matemáticas JAJAJAJAJ @ayelenlupa2 https://t.co/vwNbIIEQ9g,N/A,N/A,N/A,N/A
Sebbapp,"Amiga, no sé si no sabe matemáticas o su compresión lectora es muy mala https://t.co/SPbYB3zatN",N/A,N/A,N/A,N/A
yamilaojeda14,"Cole mañana y tarde,ensayo para la exhibición,talleres,evaluaciones,Profe de matemáticas me tienen cansadaaa.",N/A,N/A,N/A,N/A
apr_matematicas,¿Eres de los que tira las hueveras? A partir de ahora las convertirás en matemáticas! :-) https://t.co/N66suZ7ZQY https://t.co/ZDUag3U5NH,N/A,N/A,N/A,N/A
jdmorado,#MuyInteresante |  Confirmado por las matemáticas. El envejecimiento es inevitable.  &gt;&gt; https://t.co/eLqPeSQyMy.,N/A,N/A,N/A,N/A
radiocienfuegos,#MuyInteresante |  Confirmado por las matemáticas. El envejecimiento es inevitable.  &gt;&gt; https://t.co/rcQ3hzNVV0.,N/A,N/A,N/A,N/A
lizarraga_ander,Me ha gustado un vídeo de @YouTube (https://t.co/qxBtq2kWMN - Antoni Daimiel &amp; Guillermo Giménez - Frase mitica &amp; Las matemáticas).,N/A,N/A,N/A,N/A
emirojaseng,Teorema más cagante y aburrido en 7 semestres de estudiar matemáticas: Existencia y unicidad de ecucaciones diferenciales,N/A,N/A,N/A,N/A
itsnotabadick,"-¡Haré que te comas tu libro de matemáticas!
-Pero tengo lentes...
-¡TE LOS COMERÁS TAMBIÉN!",N/A,N/A,N/A,N/A
madriz_1980,@Basku_ @tebarix @NanclaresAlex @LaVanguardia @mossos Las matematicas tambien las llevas mal o que. Si sois 2 millo… https://t.co/F6UJovJ7qa,N/A,N/A,N/A,N/A
math4alloficial,"Cómo multiplicaban los rusos? #curiosidades #matematicas #trucos #math4all

https://t.co/wV0fUsicRc",N/A,N/A,N/A,N/A
math4alloficial,"De donde viene el número PI? #pi #curiosidades #matematicas #math4all

https://t.co/ujx4tCSWPF",N/A,N/A,N/A,N/A
math4alloficial,"Numeros primos y compuestos diferencia #matematicas #math4all #mates

https://t.co/FUuJ0Yl18q",N/A,N/A,N/A,N/A
EstelaQuimica,#LoMásLeído APRENDE MATEMÁTICAS CON LOS CHEMTRAILS - EDITORIAL Vicens VIVES (España) ¿Qué opinas? https://t.co/TsuoKWGdh6,N/A,N/A,N/A,N/A
math4alloficial,"Gánale a tus amigos con este truco #matematicas #math4all #trucos #mates

https://t.co/i8Qgnyo1PD",N/A,N/A,N/A,N/A
leoo_bp,"Tener un buen día, hacer 3 ejercicios de matemáticas y deprimirme",N/A,N/A,N/A,N/A
maarizaperez,Cómo lo veis?? Las matemáticas a examen!!! https://t.co/mq2m1MrNYp,N/A,N/A,N/A,N/A
CPBSANTAANA,“El 80% de lo que se aprende en la asignatura de matemáticas no sirve para nada” https://t.co/fN0y39gW0r vía @el_pais,N/A,N/A,N/A,N/A
JPaul__7,Yo en matemáticas https://t.co/SK6KhcClnL,N/A,N/A,N/A,N/A
PresidentePrima,"Estupendas las V Jornadas de Matemáticas de Navarra, además de aprender cosas nuevas reencuentro con grandes amigos",N/A,N/A,N/A,N/A
Nattu_ega,Ing. en desarrollo de videojuegos y realidad virtual en Festival de Matemáticas #talca… https://t.co/GObsGWK6Yq,N/A,N/A,N/A,N/A
Sir_Blito,"@QuantumFracture @CdeCiencia Haced una encuesta de si las matemáticas son una ciencia, un arte u otra cosa",N/A,N/A,N/A,N/A
lettucegirrl,Ya hice mi examen y como me lo suponía me fue mal en matemáticas:)))))),N/A,N/A,N/A,N/A
ZG4EftRubiuH,Por favor alguien que me ayude con estadisticas en matematicas plis,N/A,N/A,N/A,N/A
CARPETAMAESTRO,CARPETA DEL MAESTRO: ACTIVIDADES DE REFUERZO DE MATEMÁTICAS 3 (TERCER C... https://t.co/iiFakqZ0RO,N/A,N/A,N/A,N/A
maulee,Todo listo para el Primer Festival de Matemáticas de Talca https://t.co/22wLw4WhER,N/A,N/A,N/A,N/A
caruchack,Me di cuenta que pertenezco al grupo de los nerds cuando empecé a hacer chistes sobre física y matemáticas 🙃🔫,N/A,N/A,N/A,N/A
arivol7,Cuando te dicen que solo faltan 5 minutos para terminar la sección de matemáticas. https://t.co/gKxiSFYSIy,N/A,N/A,N/A,N/A
Maemories,Debería estar estudiando matemáticas.  Khé hago aquí,N/A,N/A,N/A,N/A
LenteMagazine,#LenteMagazine (Imparten en la UAT taller para mejorar la ...)- https://t.co/JK9EImPyHc #UAT #somosUAT #UniversidadAutonomoaDeTamaulipas,N/A,N/A,N/A,N/A
ibubok,Disponible en ibubok el libro Fundamentos de matemáticas https://t.co/kQXD0ZVgvy,N/A,N/A,N/A,N/A
PublimetroChile,La tarea de matemáticas que una niña de 6 años no pudo resolver y que confundió a miles en Internet… https://t.co/hkXZ6jyhgG,N/A,N/A,N/A,N/A
Nattu_ega,Ing. en desarrollo de videojuegos y realidad virtual en Festival de Matemáticas #talca… https://t.co/kIZlLOqMPj,N/A,N/A,N/A,N/A
AnaComes1,RETO 32: A LOS PERROS LES GUSTAN LAS MATEMÁTICAS https://t.co/shXJbyApts vía @wordpressdotcom,N/A,N/A,N/A,N/A
Mysexytoaster,Frustrada nivel pt2: No sé matemáticas y saque 7 en trabajo en equipo (obviamente fue todo mi culpa),N/A,N/A,N/A,N/A
NajeraRetrogame,"@yisucrist Respect!!! Ojo, que el mío de Matemáticas me tiraba el borrador con efecto parábola y me daba siempre en la cabeza. Así estoy yo.",N/A,N/A,N/A,N/A
Twittofilia,"Número Pi, una curiosa cifra utilizada para casi todo #matemáticas https://t.co/SuVkGQJdmx",N/A,N/A,N/A,N/A
andreazaam,karina se duermio pensando en matematicas wtf,N/A,N/A,N/A,N/A
Chilan2001,"3- Matemáticas.
Estas son el lenguaje del universo y la providencia, y sin ellas no somos nada. No soy malo para re… https://t.co/xt1rbQxDjC",N/A,N/A,N/A,N/A
NKsulpiride,"@CidSergio Eso le pasa mucho a mi padre, tiene menos idea de matemáticas que yo y siempre lo descubre por sus propios medios, MAGIA.",N/A,N/A,N/A,N/A
Devlinus,"@Eduardo220173 @e_cycni ¿sabe qué hacía Kant? Matemáticas,no como Von Mises que las detestaba y se inventó la praxe… https://t.co/i6JLLqGbYv",N/A,N/A,N/A,N/A
Rioja2,"La Casa de las Ciencias fusiona matemáticas, gastronomía y fotografía en dos exposiciones que hoy se han inaugurado… https://t.co/PrFBN1cj0w",N/A,N/A,N/A,N/A
alienorar_,Si no hay matemáticas no es una carrera #thanksdad,N/A,N/A,N/A,N/A
carlosferrersot,"La vida en Matemáticas:
—Primaria: 5+5=10
—Secundaria: x+4=-2
—Bachillerato: x²+3x-5=sen(x)
—Universidad: ∫√x/(x(e^… https://t.co/NF56EemFNl",N/A,N/A,N/A,N/A
chuscarbayubrim,"@dra_calegria La música tb son las matemáticas del placer,el abeyu,la cueva (refugio) q distiende el Espíritu cuando esta cansado",N/A,N/A,N/A,N/A
lalibretacolora,“Las matemáticas vigilan tu salud” El libro de @ClaraGrima del que estamos hablando https://t.co/PEpWdDm63n,N/A,N/A,N/A,N/A
MonicaSarcos,"Número Pi, una curiosa cifra utilizada para casi todo #Matemáticas https://t.co/nTbKq1igPP",N/A,N/A,N/A,N/A
parisaguila685,"Si las matematicas so. exactas y Pitagoras no miente, tu eres el chico mas guapo de todo el continente.",N/A,N/A,N/A,N/A
Javisburgos,"Lecturas recomendadas para el café matutino: https://t.co/PcLgFQI7kN de @rpleguezuelos y, si me lo permiten, https://t.co/ZuLcmA92Uv",N/A,N/A,N/A,N/A
NEUDC_RNE,"Con @ClaraGrima, que hoy ha venido a hablar de su libro: “Las matemáticas vigilan tu salud” https://t.co/AAJSNovXJB",N/A,N/A,N/A,N/A
